Rank,Athlete,Group,Bodyweight,1,2,3,Result,1.1,2.1,3.1,Result.1,Total,Year,Nation
22.0,Vernon Patao (USA),C,64.0,122.5,122.5,127.5,122.5,150.0,155.0,160.0,160.0,282.5,1996,
23.0,Oleg Yem (KAZ),C,63.59,125.0,130.0,130.0,130.0,145.0,150.0,155.0,150.0,280.0,1996,
24.0,Azzedine Basbas (ALG),B,63.76,120.0,125.0,125.0,120.0,160.0,160.0,160.0,160.0,280.0,1996,
25.0,Samson N'Dicka-Matam (CMR),B,63.95,125.0,130.0,130.0,125.0,155.0,165.0,165.0,155.0,280.0,1996,
26.0,Roger Berrio (COL),C,63.63,120.0,122.5,122.5,122.5,150.0,150.0,155.0,155.0,277.5,1996,
27.0,Alexi Batista (PAN),B,63.87,122.5,122.5,130.0,122.5,150.0,160.0,160.0,150.0,272.5,1996,
28.0,Jean Lavertue (CAN),C,63.92,125.0,125.0,125.0,125.0,145.0,150.0,152.5,145.0,270.0,1996,
29.0,Fouad Bouzenada (ALG),C,63.98,115.0,120.0,120.0,115.0,147.5,152.5,152.5,152.5,267.5,1996,
30.0,Alfonso Grullart (DOM),C,63.79,115.0,115.0,115.0,115.0,145.0,145.0,152.5,145.0,260.0,1996,
31.0,Francisco Cáceres (ESA),C,64.0,115.0,115.0,120.0,115.0,145.0,150.0,150.0,145.0,260.0,1996,
32.0,Thanh Nguyen (USA),C,63.93,112.5,117.5,117.5,112.5,145.0,150.0,150.0,145.0,257.5,1996,
33.0,Sandeep Kumar (IND),C,63.57,105.0,110.0,115.0,110.0,135.0,142.5,147.5,142.5,252.5,1996,
34.0,Miodrag Kovačić (YUG),C,63.9,102.5,110.0,112.5,110.0,130.0,137.5,140.0,137.5,247.5,1996,
,Tony Analau (SOL),C,61.87,80.0,80.0,80.0,–,–,–,–,–,–,1996,
,Wang Guohua (CHN),A,63.45,145.0,145.0,145.0,–,–,–,–,–,–,1996,
1.0,Zhan Xugang (CHN),A,69.98,155.0,160.0,162.5,162.5,190.0,192.5,195.0,195.0,357.5,1996,
2.0,Kim Myong-nam (PRK),A,69.79,160.0,160.0,160.0,160.0,185.0,192.5,192.5,185.0,345.0,1996,
3.0,Attila Feri (HUN),A,69.2,152.5,152.5,155.0,152.5,187.5,187.5,192.5,187.5,340.0,1996,
4.0,Plamen Zhelyazkov (BUL),A,69.61,150.0,150.0,155.0,155.0,180.0,185.0,185.0,180.0,335.0,1996,
5.0,Abdel Manaane Yahiaoui (ALG),B,69.62,145.0,150.0,152.5,150.0,180.0,185.0,187.5,185.0,335.0,1996,
6.0,Israel Militosyan (ARM),A,69.88,150.0,152.5,155.0,152.5,177.5,182.5,187.5,182.5,335.0,1996,
7.0,Wan Jianhui (CHN),A,69.5,152.5,152.5,155.0,152.5,180.0,185.0,185.0,180.0,332.5,1996,
8.0,Idalberto Aranda (CUB),A,69.84,137.5,142.5,145.0,145.0,187.5,192.5,192.5,187.5,332.5,1996,
9.0,Zlatan Vasilev (BUL),A,69.31,150.0,155.0,155.0,150.0,180.0,185.0,185.0,180.0,330.0,1996,
10.0,Andreas Behm (GER),A,69.39,142.5,147.5,150.0,147.5,180.0,187.5,187.5,180.0,327.5,1996,
11.0,Ergun Batmaz (TUR),A,69.55,150.0,155.0,155.0,150.0,175.0,182.5,–,175.0,325.0,1996,
12.0,Hayk Yeghiazaryan (ARM),A,69.86,145.0,145.0,150.0,145.0,180.0,190.0,190.0,180.0,325.0,1996,
13.0,Christos Spyrou (GRE),B,69.51,140.0,145.0,150.0,145.0,172.5,177.5,180.0,177.5,322.5,1996,
14.0,Tim McRae (USA),B,69.86,137.5,142.5,145.0,145.0,172.5,177.5,177.5,177.5,322.5,1996,
15.0,Oleksiy Khizhniak (UKR),B,69.94,142.5,147.5,147.5,142.5,172.5,177.5,182.5,177.5,320.0,1996,
16.0,Serghei Cretu (MDA),B,69.68,137.5,137.5,142.5,142.5,172.5,177.5,177.5,172.5,315.0,1996,
17.0,Jouni Grönman (FIN),B,69.56,135.0,140.0,142.5,142.5,165.0,170.0,175.0,170.0,312.5,1996,
18.0,Mojisola Oluwa (NGR),C,69.84,135.0,140.0,142.5,140.0,165.0,170.0,170.0,170.0,310.0,1996,
19.0,Noriaki Horikoshi (JPN),B,69.22,132.5,137.5,140.0,137.5,170.0,175.0,175.0,170.0,307.5,1996,
20.0,Rudolf Lukáč (SVK),C,69.38,135.0,140.0,140.0,135.0,167.5,177.5,177.5,167.5,302.5,1996,
21.0,André Aldenhov (SWE),B,69.83,135.0,135.0,140.0,135.0,165.0,172.5,172.5,165.0,300.0,1996,
22.0,Abdalla Al-Sebaei (SYR),C,69.89,130.0,135.0,135.0,130.0,160.0,160.0,160.0,160.0,290.0,1996,
23.0,Samsudeen Kabeer (IND),C,69.75,115.0,120.0,125.0,125.0,140.0,145.0,150.0,150.0,275.0,1996,
24.0,Marcelo Gandolfo (ARG),C,69.05,115.0,120.0,125.0,120.0,140.0,150.0,150.0,140.0,260.0,1996,
,Fedail Guler (TUR),A,69.96,–,–,–,–,–,–,–,–,–,1996,
,Peter Kilapa (PNG),C,69.22,115.0,115.0,120.0,120.0,150.0,155.0,155.0,–,–,1996,
,Gabriel Lemme (ARG),B,69.39,135.0,135.0,135.0,–,–,–,–,–,–,1996,
,Gábor Molnár (HUN),B,69.44,145.0,145.0,145.0,–,–,–,–,–,–,1996,
1.0,Pablo Lara (CUB),A,75.91,157.5,162.5,167.5,162.5,200.0,205.0,210.0,205.0,367.5,1996,
2.0,Yoto Yotov (BUL),A,75.91,155.0,160.0,162.5,160.0,192.5,200.0,–,200.0,360.0,1996,
3.0,Jon Chol-ho (PRK),A,75.62,157.5,162.5,165.0,162.5,190.0,195.0,197.5,195.0,357.5,1996,
4.0,Viktor Mitrou (GRE),A,75.82,155.0,160.0,162.5,162.5,195.0,195.0,195.0,195.0,357.5,1996,
5.0,Lin Shoufeng (CHN),A,75.91,152.5,157.5,160.0,157.5,195.0,202.5,202.5,195.0,352.5,1996,
6.0,Ingo Steinhöfel (GER),A,75.77,157.5,160.0,162.5,160.0,187.5,190.0,190.0,187.5,347.5,1996,
7.0,Sergey Filimonov (RUS),B,75.96,155.0,160.0,165.0,160.0,185.0,190.0,190.0,185.0,345.0,1996,
8.0,Hovhannes Barseghyan (ARM),A,75.97,155.0,160.0,160.0,155.0,190.0,195.0,195.0,190.0,345.0,1996,
9.0,Leonid Lobachov (BLR),A,75.65,152.5,157.5,160.0,160.0,182.5,182.5,190.0,182.5,342.5,1996,
10.0,Andrey Poitschke (GER),B,75.41,150.0,155.0,157.5,155.0,172.5,177.5,180.0,180.0,335.0,1996,
11.0,Oleg Kechko (BLR),A,75.79,150.0,155.0,157.5,155.0,180.0,187.5,187.5,180.0,335.0,1996,
12.0,Álvaro Velasco (COL),B,75.92,145.0,150.0,150.0,145.0,175.0,180.0,180.0,180.0,325.0,1996,
13.0,Vladimir Birsa (MDA),B,75.55,142.5,147.5,147.5,147.5,175.0,182.5,182.5,175.0,322.5,1996,
14.0,Ilirjan Suli (ALB),B,75.93,137.5,142.5,147.5,147.5,170.0,175.0,180.0,175.0,322.5,1996,
15.0,Satheesha Rai (IND),C,75.53,135.0,135.0,140.0,140.0,170.0,177.5,180.0,177.5,317.5,1996,
16.0,Ilie Fǎtu (ROU),B,75.09,135.0,142.5,142.5,135.0,175.0,180.0,185.0,180.0,315.0,1996,
17.0,Damian Brown (AUS),C,75.91,135.0,140.0,145.0,140.0,175.0,180.0,180.0,175.0,315.0,1996,
18.0,Ofisa Ofisa (SAM),C,75.87,120.0,127.5,132.5,127.5,160.0,167.5,167.5,160.0,287.5,1996,
19.0,Edward Silva (URU),C,74.43,112.5,117.5,120.0,120.0,142.5,147.5,152.5,147.5,267.5,1996,
20.0,Quincy Detenamo (NRU),C,75.97,100.0,105.0,110.0,110.0,137.5,142.5,142.5,142.5,252.5,1996,
21.0,Isnardo Faro (ARU),C,75.95,102.5,107.5,112.5,112.5,132.5,137.5,142.5,137.5,250.0,1996,
,Khachatur Kyapanaktsyan (ARM),A,75.53,157.5,162.5,165.0,165.0,192.5,192.5,195.0,–,–,1996,
,Bakhtiyar Nurullayev (UZB),C,74.58,145.0,145.0,145.0,–,–,–,–,–,–,1996,
,Mehmet Yılmaz (TUR),B,75.86,152.5,157.5,157.5,157.5,185.0,185.0,185.0,–,–,1996,
1.0,Pyrros Dimas (GRE),A,82.06,172.5,175.0,180.0,180.0,202.5,207.5,213.0,213.0,392.5,1996,
2.0,Marc Huster (GER),A,82.36,170.0,170.0,172.5,170.0,202.5,207.5,213.5,213.5,382.5,1996,
3.0,Andrzej Cofalik (POL),A,82.44,167.5,167.5,170.0,170.0,202.5,202.5,205.0,202.5,372.5,1996,
4.0,Kiril Kounev (AUS),A,82.73,165.0,170.0,172.5,170.0,200.0,205.0,205.0,200.0,370.0,1996,
5.0,Vadim Vacarciuc (MDA),A,82.63,165.0,165.0,165.0,165.0,202.5,210.0,210.0,202.5,367.5,1996,
6.0,Sergo Chakhoyan (ARM),A,80.87,165.0,170.0,172.5,170.0,195.0,200.0,202.5,195.0,365.0,1996,
7.0,Dursun Sevinc (TUR),A,82.8,155.0,165.0,165.0,165.0,197.5,210.0,210.0,197.5,362.5,1996,
8.0,Krastyu Milev (BUL),B,82.71,155.0,155.0,160.0,160.0,195.0,200.0,202.5,200.0,360.0,1996,
9.0,Bidzina Mikiashvili (GEO),A,82.97,160.0,165.0,165.0,160.0,200.0,205.0,205.0,200.0,360.0,1996,
10.0,Rishat Mansurov (KAZ),B,82.72,155.0,155.0,160.0,155.0,182.5,187.5,187.5,182.5,337.5,1996,
11.0,Tofig Heydarov (AZE),B,82.83,150.0,160.0,162.5,150.0,180.0,190.0,190.0,180.0,330.0,1996,
12.0,Anthony Arthur (GBR),B,81.99,140.0,147.5,152.5,147.5,170.0,180.0,187.5,180.0,327.5,1996,
13.0,Serge Tremblay (CAN),A,82.44,145.0,150.0,155.0,150.0,177.5,185.0,185.0,177.5,327.5,1996,
14.0,Wu Tsai-fu (TPE),B,77.89,137.5,137.5,142.5,137.5,170.0,175.0,175.0,175.0,312.5,1996,
15.0,Dainis Zīlītis (LAT),B,82.53,145.0,145.0,150.0,145.0,167.5,172.5,172.5,167.5,312.5,1996,
16.0,Kuo Tai-chih (TPE),B,81.86,125.0,125.0,132.5,125.0,165.0,165.0,170.0,165.0,290.0,1996,
17.0,Rupeni Varea (FIJ),B,81.01,115.0,115.0,122.5,115.0,150.0,160.0,160.0,150.0,265.0,1996,
18.0,Steven Baccus (SEY),B,81.11,105.0,110.0,115.0,115.0,145.0,150.0,150.0,145.0,260.0,1996,
,Oleksandr Blyshchyk (UKR),A,82.56,152.5,167.5,170.0,167.5,192.5,192.5,192.5,–,–,1996,
,Kuanysh Rymkulov (KAZ),B,82.82,155.0,155.0,155.0,–,–,–,–,–,–,1996,
1.0,Aleksei Petrov (RUS),A,90.89,175.0,182.5,187.5,187.5,215.0,227.5,227.5,215.0,402.5,1996,
2.0,Leonidas Kokas (GRE),A,89.28,170.0,170.0,175.0,175.0,212.5,215.0,215.0,215.0,390.0,1996,
3.0,Oliver Caruso (GER),A,90.65,170.0,175.0,177.5,175.0,205.0,215.0,–,215.0,390.0,1996,
4.0,Sunay Bulut (TUR),A,90.82,170.0,175.0,177.5,177.5,210.0,210.0,212.5,212.5,390.0,1996,
5.0,Igor Alekseyev (RUS),A,90.5,175.0,175.0,182.5,182.5,205.0,212.5,212.5,205.0,387.5,1996,
6.0,Carlos Alexis Hernández (CUB),A,90.87,170.0,175.0,180.0,175.0,202.5,207.5,212.5,207.5,382.5,1996,
7.0,Oleh Chumak (UKR),A,89.46,167.5,172.5,172.5,167.5,202.5,207.5,212.5,212.5,380.0,1996,
8.0,Plamen Bratoychev (BUL),A,90.93,170.0,170.0,175.0,175.0,202.5,205.0,207.5,205.0,380.0,1996,
9.0,Julio César Luña (VEN),B,90.28,160.0,165.0,167.5,165.0,202.5,207.5,210.0,210.0,375.0,1996,
10.0,Martin Tešovič (SVK),B,90.39,162.5,167.5,167.5,162.5,205.0,210.0,210.0,210.0,372.5,1996,
11.0,Marek Maślany (POL),B,90.63,160.0,165.0,165.0,165.0,200.0,205.0,210.0,205.0,370.0,1996,
12.0,Enrique Sabari (CUB),A,90.72,155.0,162.5,165.0,165.0,195.0,205.0,212.5,205.0,370.0,1996,
13.0,Aleksander Karapetyan (ARM),A,90.25,167.5,167.5,172.5,167.5,200.0,207.5,207.5,200.0,367.5,1996,
14.0,Tom Gough (USA),B,90.92,162.5,167.5,167.5,167.5,200.0,205.0,205.0,200.0,367.5,1996,
15.0,Vladimir Khlud (BLR),B,90.05,160.0,165.0,167.5,165.0,195.0,195.0,195.0,195.0,360.0,1996,
16.0,Harvey Goodman (AUS),B,89.94,157.5,162.5,162.5,157.5,192.5,200.0,205.0,200.0,357.5,1996,
17.0,Viktor Belyatsky (BLR),A,90.56,167.5,167.5,167.5,167.5,190.0,190.0,195.0,190.0,357.5,1996,
18.0,Andrey Makarov (KAZ),A,86.58,165.0,170.0,170.0,165.0,190.0,190.0,195.0,190.0,355.0,1996,
19.0,Cédric Plançon (FRA),B,87.56,155.0,160.0,160.0,155.0,185.0,190.0,190.0,190.0,345.0,1996,
20.0,Im Dong-gi (KOR),B,89.82,150.0,150.0,155.0,155.0,190.0,200.0,200.0,190.0,345.0,1996,
21.0,Raffaele Mancino (ITA),B,90.21,150.0,157.5,160.0,160.0,170.0,180.0,180.0,180.0,340.0,1996,
22.0,Eric Brown (ASA),B,90.05,145.0,150.0,155.0,150.0,180.0,180.0,185.0,180.0,330.0,1996,
23.0,Ramūnas Vyšniauskas (LTU),B,90.35,140.0,140.0,150.0,140.0,170.0,175.0,182.5,175.0,315.0,1996,
24.0,Gerard Garabwan (NRU),B,90.87,110.0,115.0,120.0,115.0,150.0,157.5,157.5,150.0,265.0,1996,
,Viliami Tapaatoutai (TGA),B,88.67,100.0,105.0,105.0,105.0,135.0,140.0,140.0,–,–,1996,
1.0,Kakhi Kakhiashvili (GRE),A,96.78,180.0,185.0,187.5,185.0,220.0,225.0,235.0,235.0,420.0,1996,
2.0,Anatoly Khrapaty (KAZ),A,98.4,177.5,182.5,187.5,187.5,217.5,222.5,227.5,222.5,410.0,1996,
3.0,Denys Gotfrid (UKR),A,97.17,180.0,185.0,187.5,187.5,215.0,215.0,217.5,215.0,402.5,1996,
4.0,Stanislav Rybalchenko (UKR),A,98.55,177.5,182.5,185.0,182.5,212.5,222.5,222.5,212.5,395.0,1996,
5.0,Vyacheslav Rubin (RUS),A,98.83,175.0,180.0,180.0,175.0,215.0,220.0,220.0,215.0,390.0,1996,
6.0,Dmitry Smirnov (RUS),A,98.86,170.0,175.0,175.0,175.0,210.0,215.0,220.0,215.0,390.0,1996,
7.0,Igor Sadykov (GER),A,98.34,172.5,177.5,180.0,177.5,207.5,212.5,212.5,207.5,385.0,1996,
8.0,Aghvan Grigoryan (ARM),A,98.33,175.0,180.0,180.0,175.0,200.0,205.0,210.0,205.0,380.0,1996,
9.0,Oleg Chiritsa (BLR),A,98.63,165.0,170.0,172.5,172.5,207.5,215.0,215.0,207.5,380.0,1996,
10.0,Choi Dong-kil (KOR),B,97.23,160.0,165.0,165.0,165.0,202.5,207.5,212.5,207.5,372.5,1996,
11.0,Tharwat Bendary (EGY),B,97.81,160.0,165.0,167.5,167.5,205.0,210.0,210.0,205.0,372.5,1996,
12.0,Lorenzo Carrió (ESP),B,98.6,160.0,165.0,167.5,167.5,200.0,205.0,205.0,200.0,367.5,1996,
13.0,Aleksandr Urinov (UZB),B,97.72,165.0,170.0,172.5,172.5,192.5,200.0,200.0,192.5,365.0,1996,
14.0,Peter Kelley (USA),B,98.96,160.0,165.0,165.0,160.0,192.5,197.5,200.0,197.5,357.5,1996,
15.0,Yoshimitsu Nishimoto (JPN),B,98.07,155.0,160.0,160.0,155.0,200.0,200.0,212.5,200.0,355.0,1996,
16.0,Jaroslav Jokeľ (SVK),B,98.35,152.5,157.5,160.0,160.0,187.5,192.5,192.5,192.5,352.5,1996,
17.0,Mihai Vihodet (MDA),B,98.2,157.5,157.5,162.5,162.5,185.0,190.0,190.0,185.0,347.5,1996,
18.0,Deivan Valencia (COL),B,98.31,147.5,152.5,152.5,152.5,190.0,190.0,195.0,195.0,347.5,1996,
19.0,Roman Polom (CZE),B,98.53,155.0,155.0,160.0,160.0,182.5,187.5,190.0,187.5,347.5,1996,
20.0,Ivars Zdanovskis (LAT),B,98.79,150.0,155.0,155.0,150.0,180.0,187.5,192.5,187.5,337.5,1996,
21.0,Emilson Dantas (BRA),C,98.81,145.0,152.5,152.5,152.5,175.0,182.5,190.0,182.5,335.0,1996,
22.0,Cristian Escalante (CHI),C,98.46,132.5,137.5,142.5,142.5,162.5,167.5,172.5,172.5,315.0,1996,
23.0,Raed Ahmed (IRQ),C,97.8,130.0,137.5,140.0,137.5,165.0,180.0,180.0,165.0,302.5,1996,
24.0,Sam Nunuke Pera (COK),C,98.11,115.0,120.0,125.0,120.0,150.0,160.0,165.0,165.0,285.0,1996,
25.0,Collins Okothnyawallo (KEN),C,98.14,115.0,120.0,125.0,125.0,140.0,150.0,150.0,150.0,275.0,1996,
26.0,Redha Shaaban (KUW),C,97.83,105.0,115.0,120.0,115.0,130.0,140.0,140.0,140.0,255.0,1996,
,Viacheslav Ivanovski (ISR),B,98.5,175.0,175.0,175.0,–,–,–,–,–,–,1996,
,Sergey Kopytov (KAZ),A,98.93,170.0,170.0,172.5,170.0,210.0,210.0,210.0,–,–,1996,
1.0,Timour Taimazov (UKR),A,107.32,190.0,195.0,197.5,195.0,227.5,235.0,240.0,235.0,430.0,1996,
2.0,Sergey Syrtsov (RUS),A,107.22,185.0,190.0,195.0,195.0,225.0,230.0,230.0,225.0,420.0,1996,
3.0,Nicu Vlad (ROU),A,107.7,190.0,195.0,197.5,197.5,222.5,227.5,230.0,222.5,420.0,1996,
4.0,Vladimir Yemelyanov (BLR),A,107.41,180.0,187.5,187.5,187.5,215.0,220.0,220.0,220.0,407.5,1996,
5.0,Cui Wenhua (CHN),A,102.52,190.0,190.0,195.0,190.0,215.0,220.0,220.0,215.0,405.0,1996,
6.0,Wes Barnett (USA),A,107.88,165.0,170.0,175.0,175.0,215.0,220.0,225.0,220.0,395.0,1996,
7.0,Ara Vardanian (ARM),A,107.93,180.0,180.0,185.0,180.0,215.0,215.0,220.0,215.0,395.0,1996,
8.0,Dariusz Osuch (POL),A,105.7,170.0,175.0,177.5,177.5,215.0,220.0,220.0,215.0,392.5,1996,
9.0,Mario Kalinke (GER),B,102.3,170.0,175.0,177.5,177.5,207.5,212.5,215.0,212.5,390.0,1996,
10.0,Viktors Ščerbatihs (LAT),B,107.17,172.5,177.5,177.5,177.5,205.0,212.5,217.5,212.5,390.0,1996,
11.0,Dimitri Prochorow (GER),B,107.32,170.0,175.0,180.0,175.0,210.0,215.0,220.0,215.0,390.0,1996,
12.0,Konstantine Starikovitch (USA),A,106.9,170.0,170.0,177.5,177.5,210.0,217.5,217.5,210.0,387.5,1996,
13.0,Chun Sang-suk (KOR),B,107.93,162.5,167.5,170.0,170.0,202.5,210.0,215.0,210.0,380.0,1996,
14.0,Janne Kanerva (FIN),B,107.44,160.0,165.0,167.5,160.0,200.0,210.0,210.0,200.0,360.0,1996,
15.0,Hisaya Yoshimoto (JPN),B,107.92,150.0,162.5,170.0,170.0,190.0,200.0,200.0,190.0,360.0,1996,
16.0,Valentin Manushev (UZB),B,107.81,160.0,160.0,165.0,160.0,190.0,200.0,200.0,190.0,350.0,1996,
